iter	Passed	Remaining
194	1127	4654
195	1135	4659
196	1144	4666
197	1153	4673
198	1163	4684
199	1172	4691
200	1181	4695
201	1188	4695
202	1195	4692
203	1219	4759
204	1229	4767
205	1238	4775
206	1252	4798
207	1259	4797
208	1268	4802
209	1279	4812
210	1296	4849
211	1304	4848
212	1313	4851
213	1320	4848
214	1329	4854
215	1345	4883
216	1353	4884
217	1365	4898
218	1374	4902
219	1384	4908
220	1396	4921
221	1405	4926
222	1421	4952
223	1429	4950
224	1443	4971
225	1449	4964
226	1459	4970
227	1467	4967
228	1475	4967
229	1482	4964
230	1491	4964
231	1498	4960
232	1508	4965
233	1519	4972
234	1526	4969
235	1535	4969
236	1542	4966
237	1555	4980
238	1564	4982
239	1572	4978
240	1581	4979
241	1588	4974
242	1595	4969
243	1605	4972
244	1613	4970
245	1619	4965
246	1627	4962
247	1634	4957
248	1643	4956
249	1650	4951
250	1657	4944
251	1664	4940
252	1671	4934
253	1680	4936
254	1688	4934
255	1697	4933
256	1705	4929
257	1713	4928
258	1720	4921
259	1730	4924
260	1737	4919
261	1744	4914
262	1751	4907
263	1761	4910
264	1768	4904
265	1775	4899
266	1782	4893
267	1790	4889
268	1797	4884
269	1808	4888
270	1816	4886
271	1824	4882
272	1832	4880
273	1840	4875
274	1846	4868
275	1853	4861
276	1860	4856
277	1873	4865
278	1904	4922
279	1912	4918
280	1919	4912
281	1926	4904
282	1973	4999
283	1982	4999
284	2023	5075
285	2031	5071
286	2040	5068
287	2061	5095
288	2068	5088
289	2076	5084
290	2085	5081
291	2094	5079
292	2102	5072
293	2110	5067
294	2133	5097
295	2141	5092
296	2148	5085
297	2157	5081
298	2165	5076
299	2172	5070
300	2179	5062
301	2187	5056
302	2195	5050
303	2208	5055
304	2215	5048
305	2222	5041
306	2230	5035
307	2238	5029
308	2245	5021
309	2256	5022
310	2263	5014
311	2271	5008
312	2279	5003
313	2287	4998
314	2295	4991
315	2303	4985
316	2317	4994
317	2324	4985
318	2332	4980
319	2341	4974
320	2350	4972
321	2357	4964
322	2365	4959
323	2374	4953
324	2382	4948
325	2389	4940
326	2397	4935
327	2403	4923
328	2410	4917
329	2417	4908
330	2424	4900
331	2432	4895
332	2439	4885
333	2447	4880
334	2455	4873
335	2464	4869
336	2471	4862
337	2480	4858
338	2493	4861
339	2499	4852
340	2504	4840
341	2512	4834
342	2518	4824
343	2526	4817
344	2531	4805
345	2536	4793
346	2543	4786
347	2550	4778
348	2558	4772
349	2565	4763
350	2572	4756
351	2577	4744
352	2583	4734
353	2589	4725
354	2596	4717
355	2604	4710
356	2609	4700
357	2615	4690
358	2623	4683
359	2629	4674
360	2636	4667
361	2642	4657
362	2650	4650
363	2656	4641
364	2663	4633
365	2670	4625
366	2676	4616
367	2685	4611
368	2691	4602
369	2699	4595
370	2705	4587
371	2713	4580
372	2732	4593
373	2740	4586
374	2751	4585
375	2759	4579
376	2767	4573
377	2774	4565
378	2781	4558
379	2787	4548
380	2795	4541
381	2801	4532
382	2806	4520
383	2813	4512
384	2819	4503
385	2825	4495
386	2833	4487
387	2839	4479
388	2848	4473
389	2855	4466
390	2863	4460
391	2869	4450
392	2876	4443
393	2884	4436
394	2892	4430
395	2899	4421
396	2906	4414
397	2912	4405
398	2918	4396
399	2925	4388
400	2932	4380
401	2939	4372
402	2945	4363
403	2952	4355
404	2958	4346
405	2964	4337
406	2973	4332
407	2980	4325
408	2988	4317
409	2994	4308
410	3001	4301
411	3007	4292
412	3012	4282
413	3018	4273
414	3024	4262
415	3029	4252
416	3035	4244
417	3043	4237
418	3052	4232
419	3058	4223
420	3066	4217
421	3073	4210
422	3082	4204
423	3089	4196
424	3097	4190
425	3103	4181
426	3108	4171
427	3116	4165
428	3123	4157
429	3131	4150
430	3137	4142
431	3145	4135
432	3151	4127
433	3160	4122
434	3166	4112
435	3174	4106
436	3181	4098
437	3188	4091
438	3197	4086
439	3204	4078
440	3213	4072
441	3220	4065
442	3227	4057
443	3234	4049
444	3243	4045
445	3251	4038
446	3258	4031
447	3265	4023
448	3275	4019
449	3280	4009
450	3288	4002
451	3294	3993
452	3300	3985
453	3306	3976
454	3311	3966
455	3316	3956
456	3322	3947
457	3328	3938
458	3332	3928
459	3338	3918
460	3344	3910
461	3350	3902
462	3356	3892
463	3361	3882
464	3369	3877
465	3374	3867
466	3380	3858
467	3385	3848
468	3390	3838
469	3396	3830
470	3401	3820
471	3406	3811
472	3413	3803
473	3421	3796
474	3427	3788
475	3434	3781
476	3441	3773
477	3448	3765
478	3453	3756
479	3460	3749
480	3465	3739
481	3472	3732
482	3480	3725
483	3486	3717
484	3493	3709
485	3497	3699
486	3502	3689
487	3507	3680
488	3511	3669
489	3516	3660
490	3522	3652
491	3527	3642
492	3532	3632
493	3539	3625
494	3543	3615
495	3549	3606
496	3554	3597
497	3560	3588
498	3565	3579
499	3571	3571
500	3577	3562
501	3582	3553
502	3588	3545
503	3594	3537
504	3600	3528
505	3608	3522
506	3615	3515
507	3623	3509
508	3629	3501
509	3636	3493
510	3641	3484
511	3648	3477
512	3655	3470
513	3662	3462
514	3668	3454
515	3672	3445
516	3679	3437
517	3685	3429
518	3690	3420
519	3696	3411
520	3700	3402
521	3706	3393
522	3711	3385
523	3716	3376
524	3722	3367
525	3727	3359
526	3732	3350
527	3737	3341
528	3743	3333
529	3748	3324
530	3753	3315
531	3758	3306
532	3764	3297
533	3769	3289
534	3774	3281
535	3779	3271
536	3784	3262
537	3790	3255
538	3796	3246
539	3800	3237
540	3805	3228
541	3810	3220
542	3815	3211
543	3820	3202
544	3827	3195
545	3833	3187
546	3839	3179
547	3843	3170
548	3848	3161
549	3853	3153
550	3858	3144
551	3863	3135
552	3868	3126
553	3873	3118
554	3878	3109
555	3883	3101
556	3888	3092
557	3893	3084
558	3898	3075
559	3904	3067
560	3909	3059
561	3915	3051
562	3920	3043
563	3925	3034
564	3930	3026
565	3936	3018
566	3941	3009
567	3945	3000
568	3951	2992
569	3958	2986
570	3963	2978
571	3968	2969
572	3973	2960
573	3980	2953
574	3985	2945
575	3991	2937
576	3997	2930
577	4002	2921
578	4007	2914
579	4015	2907
580	4020	2899
581	4026	2891
582	4031	2883
583	4036	2875
584	4043	2868
585	4048	2860
586	4053	2852
587	4059	2844
588	4064	2836
589	4070	2828
590	4076	2821
591	4081	2813
592	4088	2805
593	4093	2797
594	4098	2789
595	4103	2781
596	4109	2773
597	4114	2765
598	4122	2759
599	4128	2752
600	4133	2744
601	4141	2738
602	4146	2729
603	4152	2722
604	4158	2715
605	4166	2708
606	4171	2701
607	4177	2693
608	4181	2684
609	4186	2676
610	4191	2668
611	4197	2661
612	4202	2653
613	4207	2645
614	4212	2636
615	4218	2629
616	4222	2621
617	4227	2613
618	4232	2605
619	4236	2596
620	4240	2588
621	4247	2581
622	4252	2573
623	4257	2565
624	4263	2557
625	4268	2549
626	4273	2542
627	4279	2535
628	4284	2527
629	4291	2520
630	4296	2512
631	4300	2504
632	4308	2498
633	4315	2491
634	4323	2485
635	4329	2477
636	4336	2471
637	4343	2464
638	4348	2456
639	4352	2448
640	4358	2441
641	4363	2433
642	4369	2426
643	4374	2418
644	4379	2410
645	4386	2403
646	4391	2396
647	4396	2388
648	4403	2381
649	4408	2373
650	4413	2366
651	4420	2359
652	4425	2351
653	4430	2343
654	4436	2336
655	4441	2329
656	4446	2321
657	4452	2314
658	4457	2306
659	4462	2298
660	4468	2291
661	4472	2283
662	4475	2275
663	4479	2266
664	4483	2258
665	4487	2250
666	4494	2243
667	4500	2236
668	4507	2230
669	4514	2223
670	4519	2216
671	4524	2208
672	4529	2201
673	4534	2193
674	4539	2185
675	4543	2177
676	4548	2170
677	4554	2162
678	4560	2155
679	4565	2148
680	4569	2140
681	4575	2133
682	4579	2125
683	4584	2117
684	4590	2110
685	4595	2103
686	4600	2095
687	4606	2088
688	4611	2081
689	4616	2074
690	4622	2067
691	4627	2059
692	4632	2052
693	4638	2045
694	4643	2037
695	4648	2030
696	4654	2023
697	4659	2016
698	4668	2010
699	4675	2003
700	4683	1997
701	4688	1990
702	4693	1982
703	4699	1975
704	4704	1968
705	4709	1961
706	4715	1954
707	4720	1946
708	4725	1939
709	4728	1931
710	4734	1924
711	4740	1917
712	4744	1909
713	4751	1903
714	4755	1895
715	4760	1888
716	4765	1880
717	4770	1873
718	4775	1866
719	4781	1859
720	4786	1852
721	4791	1844
722	4795	1837
723	4800	1830
724	4805	1822
725	4810	1815
726	4816	1808
727	4821	1801
728	4827	1794
729	4832	1787
730	4837	1780
731	4844	1773
732	4850	1766
733	4857	1760
734	4865	1754
735	4875	1748
736	4881	1741
737	4885	1734
738	4891	1727
739	4896	1720
740	4903	1714
741	4908	1706
742	4915	1700
743	4922	1693
744	4927	1686
745	4932	1679
746	4938	1672
747	4943	1665
748	4948	1658
749	4954	1651
750	4958	1644
751	4963	1636
752	4968	1629
753	4972	1622
754	4976	1614
755	4984	1608
756	4989	1601
757	4994	1594
758	5003	1588
759	5007	1581
760	5012	1574
761	5018	1567
762	5025	1560
763	5033	1554
764	5039	1548
765	5047	1541
766	5052	1534
767	5057	1527
768	5063	1520
769	5067	1513
770	5072	1506
771	5078	1499
772	5083	1492
773	5088	1485
774	5094	1479
775	5099	1471
776	5104	1464
777	5110	1458
778	5115	1451
779	5120	1444
780	5126	1437
781	5130	1430
782	5135	1423
783	5140	1416
784	5145	1409
785	5150	1402
786	5156	1395
787	5161	1388
788	5166	1381
789	5172	1374
790	5176	1367
791	5181	1360
792	5188	1354
793	5194	1347
794	5207	1342
795	5221	1338
796	5227	1331
797	5232	1324
798	5238	1317
799	5243	1310
800	5248	1303
801	5254	1297
802	5259	1290
803	5264	1283
804	5270	1276
805	5275	1269
806	5280	1262
807	5286	1256
808	5290	1249
809	5296	1242
810	5302	1235
811	5306	1228
812	5311	1221
813	5320	1215
814	5362	1217
815	5379	1213
816	5386	1206
817	5439	1210
818	5451	1204
819	5488	1204
820	5497	1198
821	5504	1191
822	5513	1185
823	5526	1180
824	5536	1174
825	5544	1167
826	5551	1161
827	5562	1155
828	5574	1149
829	5581	1143
830	5591	1137
831	5598	1130
832	5606	1124
833	5613	1117
834	5622	1111
835	5630	1104
836	5639	1098
837	5647	1091
838	5654	1085
839	5661	1078
840	5668	1071
841	5675	1064
842	5681	1058
843	5688	1051
844	5696	1044
845	5704	1038
846	5711	1031
847	5717	1024
848	5723	1018
849	5729	1011
850	5735	1004
851	5740	997
852	5745	990
853	5750	983
854	5755	976
855	5760	969
856	5765	962
857	5770	955
858	5775	947
859	5780	941
860	5784	933
861	5789	926
862	5794	919
863	5801	913
864	5808	906
865	5817	900
866	5823	893
867	5828	886
868	5832	879
869	5837	872
870	5842	865
871	5847	858
872	5852	851
873	5858	844
874	5863	837
875	5868	830
876	5874	823
877	5878	816
878	5883	809
879	5889	803
880	5894	796
881	5899	789
882	5905	782
883	5910	775
884	5916	768
885	5922	762
886	5927	755
887	5932	748
888	5939	741
889	5945	734
890	5949	727
891	5956	721
892	5961	714
893	5964	707
894	5969	700
895	5972	693
896	5976	686
897	5981	679
898	5987	672
899	5995	666
900	6002	659
901	6009	652
902	6017	646
903	6022	639
904	6027	632
905	6033	625
906	6038	619
907	6042	612
908	6049	605
909	6053	598
910	6058	591
911	6064	585
912	6069	578
913	6073	571
914	6077	564
915	6083	557
916	6088	551
917	6093	544
918	6098	537
919	6103	530
920	6109	524
921	6114	517
922	6119	510
923	6125	503
924	6130	497
925	6135	490
926	6142	483
927	6147	476
928	6151	470
929	6156	463
930	6161	456
931	6168	450
932	6173	443
933	6180	436
934	6187	430
935	6194	423
936	6199	416
937	6204	410
938	6209	403
939	6214	396
940	6220	390
941	6225	383
942	6230	376
943	6236	369
944	6241	363
945	6246	356
946	6252	349
947	6259	343
948	6264	336
949	6269	329
950	6274	323
951	6279	316
952	6285	309
953	6290	303
954	6295	296
955	6301	290
956	6306	283
957	6311	276
958	6320	270
959	6326	263
960	6334	257
961	6339	250
962	6346	243
963	6350	237
964	6355	230
965	6360	223
966	6383	217
967	6405	211
968	6433	205
969	6441	199
970	6449	192
971	6457	186
972	6469	179
973	6485	173
974	6494	166
975	6504	159
976	6515	153
977	6543	147
978	6551	140
979	6560	133
980	6567	127
981	6578	120
982	6584	113
983	6598	107
984	6604	100
985	6612	93
986	6619	87
987	6629	80
988	6639	73
989	6647	67
990	6655	60
991	6662	53
992	6671	47
993	6677	40
994	6686	33
995	6694	26
996	6702	20
997	6714	13
998	6722	6
999	6727	0
