iter	MultiClass
0	1.025118457
1	0.9402968116
2	0.8782273608
3	0.8312964488
4	0.7798303958
5	0.7396122686
6	0.6953293327
7	0.6541833868
8	0.623773383
9	0.5934294349
10	0.5710180544
11	0.5489632189
12	0.5265994525
13	0.5078445731
14	0.4908001819
15	0.4737608691
16	0.4578706957
17	0.4420311412
18	0.4301374522
19	0.41877416
20	0.4070002677
21	0.3940513964
22	0.3848751427
23	0.3752028684
24	0.3673244898
25	0.3598733251
26	0.3514404882
27	0.3449140129
28	0.3378407931
29	0.3318636555
30	0.3257054732
31	0.3199228437
32	0.3131323561
33	0.3070358961
34	0.3014085391
35	0.2965370258
36	0.2917114538
37	0.2871277665
38	0.2828455015
39	0.2781595496
40	0.2730892793
41	0.2698581216
42	0.2665131391
43	0.2624224006
44	0.2588543463
45	0.2553604333
46	0.2522604485
47	0.2497004644
48	0.2472986996
49	0.244676763
50	0.2416114392
51	0.2389891089
52	0.2362909129
53	0.232890615
54	0.2304798507
55	0.2287632876
56	0.2260056454
57	0.2238612766
58	0.2212929745
59	0.2180556652
60	0.2157921467
61	0.2137207106
62	0.2112841321
63	0.2090651484
64	0.2072701905
65	0.2056272384
66	0.2039812021
67	0.2021636363
68	0.2007124439
69	0.1982968821
70	0.1956595555
71	0.1934025713
72	0.1916756315
73	0.1901276671
74	0.1881830083
75	0.1867946781
76	0.1851409245
77	0.1835464389
78	0.1819745219
79	0.1805837701
80	0.1793098951
81	0.177905434
82	0.1768308144
83	0.1751849307
84	0.1734994086
85	0.1719234672
86	0.1702773315
87	0.169079213
88	0.1680304491
89	0.1665871641
90	0.164881352
91	0.1638151815
92	0.1624344447
93	0.1608731895
94	0.1593723442
95	0.1582750225
96	0.1572816312
97	0.1561784557
98	0.1548410346
99	0.1537593777
100	0.1524212322
101	0.1509493661
102	0.1500260927
103	0.1485714668
104	0.1470914389
105	0.1457900576
106	0.1451114054
107	0.1436330308
108	0.1427673293
109	0.141614536
110	0.1408328214
111	0.1394772395
112	0.1385355978
113	0.1375239391
114	0.1367041723
115	0.1358836778
116	0.1348809941
117	0.134048211
118	0.133332975
119	0.1322528282
120	0.1314508029
121	0.1306091302
122	0.129682326
123	0.1288700177
124	0.1281521547
125	0.1268165091
126	0.1260842493
127	0.1249233719
128	0.1241024991
129	0.1231100129
130	0.1222368967
131	0.1213280242
132	0.120370186
133	0.1196006795
134	0.1181277719
135	0.1173048251
136	0.1164396786
137	0.1158660338
138	0.1151702239
